Stazione;Grandezza;DataRilevazione;Valore;IndiceValidita
ACCUMOLI;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
ACCUMOLI;TEMPARIA2M_MAXG;08/01/2018 00:00; 12.7;Dato esatto
ACCUMOLI;TEMPARIA2M_MEDG;08/01/2018 00:00; 9.9;Dato esatto
ACCUMOLI;TEMPARIA2M_MING;08/01/2018 00:00; 7.5;Dato esatto
ACCUMOLI;UMARIA2M_MEDG;08/01/2018 00:00; 54.5;Dato esatto
ACQUAPENDENTE;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
ACQUAPENDENTE;TEMPARIA2M_MAXG;08/01/2018 00:00; 16.6;Dato esatto
ACQUAPENDENTE;TEMPARIA2M_MEDG;08/01/2018 00:00; 11.64;Dato esatto
ACQUAPENDENTE;TEMPARIA2M_MING;08/01/2018 00:00; 5.4;Dato esatto
ACQUAPENDENTE;UMARIA2M_MEDG;08/01/2018 00:00; 67.33;Dato esatto
AGOSTA;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
AGOSTA;TEMPARIA2M_MAXG;08/01/2018 00:00; 19.6;Dato esatto
AGOSTA;TEMPARIA2M_MEDG;08/01/2018 00:00; 13.9;Dato esatto
AGOSTA;TEMPARIA2M_MING;08/01/2018 00:00; 10.2;Dato esatto
AGOSTA;UMARIA2M_MEDG;08/01/2018 00:00; 54.92;Dato esatto
ALATRI;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
ALATRI;TEMPARIA2M_MAXG;08/01/2018 00:00; 20.4;Dato esatto
ALATRI;TEMPARIA2M_MEDG;08/01/2018 00:00; 15.64;Dato esatto
ALATRI;TEMPARIA2M_MING;08/01/2018 00:00; 13.2;Dato esatto
ALATRI;UMARIA2M_MEDG;08/01/2018 00:00; 50.12;Dato esatto
ALVITO;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
ALVITO;TEMPARIA2M_MAXG;08/01/2018 00:00; 19.8;Dato esatto
ALVITO;TEMPARIA2M_MEDG;08/01/2018 00:00; 11.44;Dato esatto
ALVITO;TEMPARIA2M_MING;08/01/2018 00:00; 3.2;Dato esatto
ALVITO;UMARIA2M_MEDG;08/01/2018 00:00; 64.88;Dato esatto
ANAGNI;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
ANAGNI;TEMPARIA2M_MAXG;08/01/2018 00:00; 18.7;Dato esatto
ANAGNI;TEMPARIA2M_MEDG;08/01/2018 00:00; 14.93;Dato esatto
ANAGNI;TEMPARIA2M_MING;08/01/2018 00:00; 10.0;Dato esatto
ANAGNI;UMARIA2M_MEDG;08/01/2018 00:00; 55.42;Dato esatto
APRILIA;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
APRILIA;TEMPARIA2M_MAXG;08/01/2018 00:00; 19.5;Dato esatto
APRILIA;TEMPARIA2M_MEDG;08/01/2018 00:00; 16.99;Dato esatto
APRILIA;TEMPARIA2M_MING;08/01/2018 00:00; 15.5;Dato esatto
APRILIA;UMARIA2M_MEDG;08/01/2018 00:00; 61.42;Dato esatto
ARPINO;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
ARPINO;TEMPARIA2M_MAXG;08/01/2018 00:00; 19.3;Dato esatto
ARPINO;TEMPARIA2M_MEDG;08/01/2018 00:00; 13.86;Dato esatto
ARPINO;TEMPARIA2M_MING;08/01/2018 00:00; 11.4;Dato esatto
ARPINO;UMARIA2M_MEDG;08/01/2018 00:00; 55.29;Dato esatto
BAGNOREGIO;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
BAGNOREGIO;TEMPARIA2M_MAXG;08/01/2018 00:00; 16.7;Dato esatto
BAGNOREGIO;TEMPARIA2M_MEDG;08/01/2018 00:00; 13.8;Dato esatto
BAGNOREGIO;TEMPARIA2M_MING;08/01/2018 00:00; 10.5;Dato esatto
BAGNOREGIO;UMARIA2M_MEDG;08/01/2018 00:00; 49.75;Dato esatto
BASSANO ROMANO;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
BASSANO ROMANO;TEMPARIA2M_MAXG;08/01/2018 00:00; 18.3;Dato esatto
BASSANO ROMANO;TEMPARIA2M_MEDG;08/01/2018 00:00; 14.15;Dato esatto
BASSANO ROMANO;TEMPARIA2M_MING;08/01/2018 00:00; 11.8;Dato esatto
BASSANO ROMANO;UMARIA2M_MEDG;08/01/2018 00:00; 58.58;Dato esatto
BLERA;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
BLERA;TEMPARIA2M_MAXG;08/01/2018 00:00; 18.6;Dato esatto
BLERA;TEMPARIA2M_MEDG;08/01/2018 00:00; 15.64;Dato esatto
BLERA;TEMPARIA2M_MING;08/01/2018 00:00; 13.1;Dato esatto
BLERA;UMARIA2M_MEDG;08/01/2018 00:00; 55.46;Dato esatto
BOLSENA Capone;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
BOLSENA Capone;TEMPARIA2M_MAXG;08/01/2018 00:00; 19.0;Dato esatto
BOLSENA Capone;TEMPARIA2M_MEDG;08/01/2018 00:00; 14.53;Dato esatto
BOLSENA Capone;TEMPARIA2M_MING;08/01/2018 00:00; 8.6;Dato esatto
BOLSENA Capone;UMARIA2M_MEDG;08/01/2018 00:00; 54.25;Dato esatto
BOLSENA Rentica;PREC_TOTG;08/01/2018 00:00; 0.0;Dato esatto
BOLSENA Rentica;TEMPARIA2M_MAXG;08/01/2018 00:00; 18.0;Dato esatto
BOLSENA Rentica;TEMPARIA2M_MEDG;08/01/2018 00:00; 14.02;Dato esatto
BOLSENA Rentica;TEMPARIA2M_MING;08/01/2018 00:00; 9.9;Dato esatto
BOLSENA Rentica;UMARIA2M_MEDG;08/01/2018 00:00; 55.42;Dato esatto
